
Area 1 (Nort and South America)

9,24
9,30
13,33
12,34
13,35
15,38
15,39
18,42
18,44
14,50
14,54
19,62
20,66
21,70
19,72
20,74
20,77
19,78
19,80
21,83
21,87
26,92
24,87
24,86
28,81
33,77
36,72
40,70
44,65
46,61
48,59
48,57
43,54
41,54
37,48
35,45
31,43
26,40
23,38
20,41
19,41
15,37
16,34
14,33
17,30
16,29
14,30
12,28
12,25
18,21
22,21
24,26
25,26
26,21
38,15
42,15
43,14
44,14
45,15
48,12
46,10
48,9
45,7
38,11
36,9
37,6
41,4
46,4
48,5
50,3
48,1

Area 2 (Europe, Africa and Asia)

77,9
75,10
75,12
76,14
81,18
82,21
78,24
75,24
74,25
77,29
80,28
82,24
84,26
86,26
87,28
89,27
90,30
91,28
93,31
97,35
96,36
92,36
87,32
82,31
87,31
75,32
69,37
68,39
69,41
67,46
67,51
74,56
81,56
83,57
86,57
86,62
84,64
84,66
85,70
85,72
81,78
81,80
82,83
79,89
79,90






